commandment_number,commandment_concept,commandment_polarity,reference_id,scripture_english,scripture_hebrew,scripture_greek,scripture_parashah,sefer_hachinuch_number,mishneh_torah_book_number,mishneh_torah_book_name,mishneh_torah_category,p119f_category,,,,,,,,,,,,,
1,Know there is a G-d ,P,EXO 20:2,"""I am the LORD your God, who brought you out of the land of Egypt, out of the house of slavery.","ב אָנֹכִי יְהוָה אֱלֹהֶיךָ, אֲשֶׁר הוֹצֵאתִיךָ מֵאֶרֶץ מִצְרַיִם מִבֵּית עֲבָדִים: ","2 Ἐγώ εἰμι κύριος ὁ θεός σου, ὅστις ἐξήγαγόν σε ἐκ γῆς Αἰγύπτου ἐξ οἴκου δουλείας.  ",Yitro,25,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
2,Do not entertain thoughts of other gods besides G-d ,N,EXO 20:3,"""You shall have no other gods before Me.","לֹא-יִהְיֶה לְךָ אֱלֹהִים אֲחֵרִים, עַל-פָּנָי.",3 οὐκ ἔσονταί σοι θεοὶ ἕτεροι πλὴν ἐμοῦ. --  ,Yitro,26,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
3,"Know that G-d is One, a complete Unity ",P,DEU 6:4,"""Hear, O Israel! The LORD is our God, the LORD is one!","ד שְׁמַע, יִשְׂרָאֵל: יְהוָה אֱלֹהֵינוּ, יְהוָה אֶחָד.","4 Καὶ ταῦτα τὰ δικαιώματα καὶ τὰ κρίματα, ὅσα ἐνετείλατο κύριος τοῖς υἱοῖς Ισραηλ ἐν τῇ ἐρήμῳ ἐξελθόντων αὐτῶν ἐκ γῆς Αἰγύπτου Ἄκουε, Ισραηλ· κύριος ὁ θεὸς ἡμῶν κύριος εἷς ἐστιν·  ",Vaet Chanan,417,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
4,Love G-d ,P,DEU 6:5,"""You shall love the LORD your God with all your heart and with all your soul and with all your might.","ה וְאָהַבְתָּ, אֵת יְהוָה אֱלֹהֶיךָ, בְּכָל-לְבָבְךָ וּבְכָל-נַפְשְׁךָ, וּבְכָל-מְאֹדֶךָ.",5 καὶ ἀγαπήσεις κύριον τὸν θεόν σου ἐξ ὅλης τῆς καρδίας σου καὶ ἐξ ὅλης τῆς ψυχῆς σου καὶ ἐξ ὅλης τῆς δυνάμεώς σου.  ,Vaet Chanan,418,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
5,Fear G-d reverently ,P,DEU 10:20,"""You shall fear the LORD your God; you shall serve Him and cling to Him, and you shall swear by His name.","כ אֶת-יְהוָה אֱלֹהֶיךָ תִּירָא, אֹתוֹ תַעֲבֹד; וּבוֹ תִדְבָּק, וּבִשְׁמוֹ תִּשָּׁבֵעַ.",20 κύριον τὸν θεόν σου φοβηθήσῃ καὶ αὐτῷ λατρεύσεις καὶ πρὸς αὐτὸν κολληθήσῃ καὶ τῷ ὀνόματι αὐτοῦ ὀμῇ·  ,Ekev,432,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
6,Sanctify G-d's Name ,P,LEV 22:32,"""You shall not profane My holy name, but I will be sanctified among the sons of Israel; I am the LORD who sanctifies you,","לב וְלֹא תְחַלְּלוּ, אֶת-שֵׁם קָדְשִׁי, וְנִקְדַּשְׁתִּי, בְּתוֹךְ בְּנֵי יִשְׂרָאֵל: אֲנִי יְהוָה, מְקַדִּשְׁכֶם.","32 καὶ οὐ βεβηλώσετε τὸ ὄνομα τοῦ ἁγίου, καὶ ἁγιασθήσομαι ἐν μέσῳ τῶν υἱῶν Ισραηλ· ἐγὼ κύριος ὁ ἁγιάζων ὑμᾶς  ",Emor,296,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
7,Do not profane G-d's Name ,N,LEV 22:32,"""You shall not profane My holy name, but I will be sanctified among the sons of Israel; I am the LORD who sanctifies you,","לב וְלֹא תְחַלְּלוּ, אֶת-שֵׁם קָדְשִׁי, וְנִקְדַּשְׁתִּי, בְּתוֹךְ בְּנֵי יִשְׂרָאֵל: אֲנִי יְהוָה, מְקַדִּשְׁכֶם.","32 καὶ οὐ βεβηλώσετε τὸ ὄνομα τοῦ ἁγίου, καὶ ἁγιασθήσομαι ἐν μέσῳ τῶν υἱῶν Ισραηλ· ἐγὼ κύριος ὁ ἁγιάζων ὑμᾶς  ",Emor,295,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
8,Do not destroy objects associated with G-d's Name ,N,DEU 12:4,"""You shall not act like this toward the LORD your God.","ד לֹא-תַעֲשׂוּן כֵּן, לַיהוָה אֱלֹהֵיכֶם.","4 οὐ ποιήσετε οὕτως κυρίῳ τῷ θεῷ ὑμῶν,  ",Re'eh,437,1,Knowledge,The Foundations of Torah,Temple and Sacred Objects,,,,,,,,,,,,,
9,Listen to the prophet speaking in G-d's Name ,P,DEU 18:15,"""The LORD your God will raise up for you a prophet like me from among you, from your countrymen, you shall listen to him.","טו נָבִיא מִקִּרְבְּךָ מֵאַחֶיךָ כָּמֹנִי, יָקִים לְךָ יְהוָה אֱלֹהֶיךָ: אֵלָיו, תִּשְׁמָעוּן.","15 προφήτην ἐκ τῶν ἀδελφῶν σου ὡς ἐμὲ ἀναστήσει σοι κύριος ὁ θεός σου, αὐτοῦ ἀκούσεσθε  ",Shoftim,516,1,Knowledge,The Foundations of Torah,Prophecy,,,,,,,,,,,,,
10,Do not test G-d unduly ,N,DEU 6:16,"""You shall not put the LORD your God to the test, as you tested Him at Massah.","טז לֹא תְנַסּוּ, אֶת-יְהוָה אֱלֹהֵיכֶם, כַּאֲשֶׁר נִסִּיתֶם, בַּמַּסָּה.","16 Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου, ὃν τρόπον ἐξεπειράσασθε ἐν τῷ Πειρασμῷ.  ",Vaet Chanan,424,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
11,Emulate G-d's ways ,P,DEU 28:9,"""The LORD will establish you as a holy people to Himself, as He swore to you, if you keep the commandments of the LORD your God and walk in His ways.","ט יְקִימְךָ יְהוָה לוֹ לְעַם קָדוֹשׁ, כַּאֲשֶׁר נִשְׁבַּע-לָךְ: כִּי תִשְׁמֹר, אֶת-מִצְו‍ֹת יְהוָה אֱלֹהֶיךָ, וְהָלַכְתָּ, בִּדְרָכָיו.","9 ἀναστήσαι σε κύριος ὁ θεός σου ἑαυτῷ λαὸν ἅγιον, ὃν τρόπον ὤμοσεν τοῖς πατράσιν σου, ἐὰν εἰσακούσῃς τῆς φωνῆς κυρίου τοῦ θεοῦ σου καὶ πορευθῇς ἐν ταῖς ὁδοῖς αὐτοῦ·  ",Ki Tavo,,1,Knowledge,Personal Development,G-d,,,,,,,,,,,,,
12,Cleave to those who know G-d (and His Law),P,DEU 10:20,"""You shall fear the LORD your God; you shall serve Him and cling to Him, and you shall swear by His name.",  אֶת־יְהוָה אֱלֹהֶיךָ תִּירָא אֹתוֹ תַעֲבֹד וּבוֹ תִדְבָּק וּבִשְׁמוֹ תִּשָּׁבֵעַ׃ ‬,κύριον τὸν θεόν σου φοβηθήσῃ καὶ αὐτῷ λατρεύσεις καὶ πρὸς αὐτὸν κολληθήσῃ καὶ τῷ ὀνόματι αὐτοῦ ὀμῇ,Ekev,434,1,Knowledge,The Foundations of Torah,G-d,,,,,,,,,,,,,
13,Love other covenant members ,P,LEV 19:18,"'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD.","יח לֹא-תִקֹּם וְלֹא-תִטֹּר אֶת-בְּנֵי עַמֶּךָ, וְאָהַבְתָּ לְרֵעֲךָ כָּמוֹךָ: אֲנִי, יְהוָה.","18 καὶ οὐκ ἐκδικᾶταί σου ἡ χείρ, καὶ οὐ μηνιεῖς τοῖς υἱοῖς τοῦ λαοῦ σου καὶ ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν· ἐγώ εἰμι κύριος.  ",Kedoshim,243,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
14,Show love towards foreigners ,P,DEU 10:19,"""So show your love for the alien, for you were aliens in the land of Egypt.","יט וַאֲהַבְתֶּם, אֶת-הַגֵּר: כִּי-גֵרִים הֱיִיתֶם, בְּאֶרֶץ מִצְרָיִם.",19 καὶ ἀγαπήσετε τὸν προσήλυτον· προσήλυτοι γὰρ ἦτε ἐν γῇ Αἰγύπτῳ.  ,Ekev,431,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
15,Do not hate fellow covenant members ,N,LEV 19:17,"'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him.","יז לֹא-תִשְׂנָא אֶת-אָחִיךָ, בִּלְבָבֶךָ; הוֹכֵחַ תּוֹכִיחַ אֶת-עֲמִיתֶךָ, וְלֹא-תִשָּׂא עָלָיו חֵטְא.","17 οὐ μισήσεις τὸν ἀδελφόν σου τῇ διανοίᾳ σου, ἐλεγμῷ ἐλέγξεις τὸν πλησίον σου καὶ οὐ λήμψῃ δι᾿ αὐτὸν ἁμαρτίαν.  ",Kedoshim,238,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
16,Reprove a neighbor who sins ,P,LEV 19:17,"'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him.",  לֹא־תִשְׂנָא אֶת־אָחִיךָ בִּלְבָבֶךָ הוֹכֵחַ תּוֹכִיחַ אֶת־עֲמִיתֶךָ וְלֹא־תִשָּׂא עָלָיו חֵטְא׃ ‬,οὐ μισήσεις τὸν ἀδελφόν σου τῇ διανοίᾳ σου ἐλεγμῷ ἐλέγξεις τὸν πλησίον σου καὶ οὐ λήμψῃ δι' αὐτὸν ἁμαρτίαν,Kedoshim,239,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
17,Do not embarrass others ,N,LEV 19:17,"'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him.",  לֹא־תִשְׂנָא אֶת־אָחִיךָ בִּלְבָבֶךָ הוֹכֵחַ תּוֹכִיחַ אֶת־עֲמִיתֶךָ וְלֹא־תִשָּׂא עָלָיו חֵטְא׃ ‬,οὐ μισήσεις τὸν ἀδελφόν σου τῇ διανοίᾳ σου ἐλεγμῷ ἐλέγξεις τὸν πλησίον σου καὶ οὐ λήμψῃ δι' αὐτὸν ἁμαρτίαν,Kedoshim,240,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
18,Do not oppress the stranger ,N,EXO 22:21,"""You shall not wrong a stranger or oppress him, for you were strangers in the land of Egypt.",  וְגֵר לֹא־תוֹנֶה וְלֹא תִלְחָצֶנּוּ כִּי־גֵרִים הֱיִיתֶם בְּאֶרֶץ מִצְרָיִם׃ ‬,22:20 καὶ προσήλυτον οὐ κακώσετε οὐδὲ μὴ θλίψητε αὐτόν ἦτε γὰρ προσήλυτοι ἐν γῇ αἰγύπτῳ,Mishpatim,63,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
19,Do not gossip about others ,N,LEV 19:16,"'You shall not go about as a slanderer among your people, and you are not to act against the life of your neighbor; I am the LORD.","טז לֹא-תֵלֵךְ רָכִיל בְּעַמֶּיךָ, לֹא תַעֲמֹד עַל-דַּם רֵעֶךָ: אֲנִי, יְהוָה.","16 οὐ πορεύσῃ δόλῳ ἐν τῷ ἔθνει σου, οὐκ ἐπισυστήσῃ ἐφ᾿ αἷμα τοῦ πλησίον σου· ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν.  ",Kedoshim,236,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
20,Do not take revenge ,N,LEV 19:18,"'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD.",  לֹא־תִקֹּם וְלֹא־תִטֹּר אֶת־בְּנֵי עַמֶּךָ וְאָהַבְתָּ לְרֵעֲךָ כָּמוֹךָ אֲנִי יְהוָה׃ ‬,καὶ οὐκ ἐκδικᾶταί σου ἡ χείρ καὶ οὐ μηνιεῖς τοῖς υἱοῖς τοῦ λαοῦ σου καὶ ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν ἐγώ εἰμι κύριος,Kedoshim,241,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
