person_label_id,person_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,label-given_by_god,label_notes,person_label_count,label_sequence
G-d_1_1,G-d_1,G-d,אֱלֹהִים,elohiym,"rulers, judges, divine ones, or The Divine One",H430,θεός,THeos,a deity or The Deity,G2316,GEN 1:1,title,Y,,1,1
G-d_1_2,G-d_1,LORD G-d,יְהוָה אֱלֹהִים,y-h-v-h elohiym,[special name of G-d] god [plural],H3068 H430,θεὸς,THeos,a deity or The Deity,G2316,GEN 2:4,title,Y,,2,2
Adam_1_1,Adam_1,Adam,אדם,adam,"man, mankind",H121,Ἀδάμ,Adam,,G76,GEN 2:20,proper name,Y,,1,3
Eve_1_1,Eve_1,Eve,חַוָּה,chavah,living one,H2332,ζωή,Zōē,"life, living existence",G2222,GEN 3:20,proper name,,,1,4
Cain_1_1,Cain_1,Cain,קַיִן,qayin,"brought forth, acquired",H7014,Κάϊν,Kain,,G2535,GEN 4:1,proper name,,,1,5
G-d_1_3,G-d_1,LORD,יהוה,y-h-v-h,[the proper name of the one true G-d],H3068,θεοῦ,THeou,a deity or The Deity,G2316,GEN 4:1,proper name,Y,,3,6
Abel_1_1,Abel_1,Abel,הָבַל,hevel,morning mist,H1893,Ἅβελ,Abel,,G6,GEN 4:2,proper name,,,1,7
Enoch_1_1,Enoch_1,Enoch,חֲנוֹךְ,chanok,initiated; follower,H2585,Ενωχ,Enōx,,G1802,GEN 4:17,proper name,,,1,8
Irad_1_1,Irad_1,Irad,עִירָד,iyrad,fugitive,H5897,Γαιδαδ,Gaidad,,none,GEN 4:18,proper name,,,1,9
Mehujael_1_1,Mehujael_1,Mehujael,מְחוּיָאֵל,mehuyael,smitten by G-d,H4232,Μαιηλ,Maiēl,,none,GEN 4:18,proper name,,,1,10
Methushael_1_1,Methushael_1,Methushael,מְתוּשָׁאֵל,methushael,man of G-d,H4967,Μαθουσαλα,Mathousala,,none,GEN 4:18,proper name,,,1,11
Lamech_1_1,Lamech_1,Lamech,לֶמֶךְ,lemek,,H3929,Λάμεχ,Lamex,,G2984,GEN 4:18,proper name,,,1,12
Adah_1_1,Adah_1,Adah,עָדָה,adah,adornment,H5711,Αδα,Ada,,none,GEN 4:19,proper name,,,1,13
Zillah_1_1,Zillah_1,Zillah,צִלָּה,tsilah,"[G-d is my] shadow, i.e., protection",H6741,Σελλα,Silla,,none,GEN 4:19,proper name,,,1,14
Jabal_1_1,Jabal_1,Jabal,יָבָל,yaval,,H2989,Ιωβελ,Iobel,,none,GEN 4:20,proper name,,,1,15
Jubal_1_1,Jubal_1,Jubal,יוּבַל,yuval,,H3106,Ιουβαλ,Ioubal,,none,GEN 4:21,proper name,,,1,16
Tubal-cain_1_1,Tubal-cain_1,Tubal-cain,תּ֣וּבַל קַ֔יִן,tuval qayin,,H8423,Θοβελ,THobel,,none,GEN 4:22,proper name,,,1,17
Naamah_1_1,Naamah_1,Naamah,נַעֲמָה,naamah,pleasant,H5279,Νοεμα,Noema,,none,GEN 4:22,proper name,,,1,18
Seth_1_1,Seth_1,Seth,שֵׁת,shet,"determined, granted, Ge 4:25; restitution",H8352,Σηθ,Seth,,G4589,GEN 4:25,proper name,,,1,19
Enosh_1_1,Enosh_1,Enosh,אֱנ֑וֹשׁ,enosh,[mortal] man,H583,Ενως,Enos,,G1800,GEN 4:26,proper name,,,1,20
Kenan_1_1,Kenan_1,Kenan,קֵינָֽן,qeynan,,H7018,Καιναν,Kainan,,G2536,GEN 5:10,proper name,,,1,21
Mahalalel_1_1,Mahalalel_1,Mahalalel,מַֽהֲלַלְאֵ֔ל,mahalalel,praise of G-d [El],H4111,Μαλελεήλ,Malele'el,,G3121,GEN 5:13,proper name,,,1,22
Jared_1_1,Jared_1,Jared,יֶרֶד,yered,rose; servant,H3382,Ιαρεδ,Iared,,G2391,GEN 5:15,proper name,,,1,23
Enoch_2_1,Enoch_2,Enoch,חֲנוֹךְ,chanok,initiated; follower,H2585,Ενωχ,Henox,,G1802,GEN 5:19,proper name,,,1,24
Methuselah_1_1,Methuselah_1,Methuselah,מְתוּשֶׁ֔לַח,mətuselah,man of the javelin,H4968,Μαθουσαλα,Mathousala,,G3103,GEN 5:21,proper name,,,1,25
Lamech_2_1,Lamech_2,Lamech,לֶמֶךְ,lemek,,H3929,Λαμεχ,Lamex,,G2984,GEN 5:25,proper name,,,1,26
Noah_1_1,Noah_1,Noah,נֹ֖חַ,noach,"rest, comfort",H5146,Νωε,Noe,,G3575,GEN 5:29,proper name,,,1,27
