person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
MAT 1:1__YHVH_1_123,MAT 1:1,YHVH_1_123,YHVH_1,Jesus,1,34517,
MAT 1:1__YHVH_1_124,MAT 1:1,YHVH_1_124,YHVH_1,The Messiah,1,34518,
MAT 1:1__YHVH_1_125,MAT 1:1,YHVH_1_125,YHVH_1,Son of David,1,34519,
MAT 1:1__YHVH_1_126,MAT 1:1,YHVH_1_126,YHVH_1,Son of Abraham,1,34520,
MAT 1:2__Abram_1_2,MAT 1:2,Abram_1_2,Abram_1,Abraham,1,34521,
MAT 1:2__Isaac_1_1,MAT 1:2,Isaac_1_1,Isaac_1,Isaac,2,34522,
MAT 1:2__Jacob_1_1,MAT 1:2,Jacob_1_1,Jacob_1,Jacob,2,34523,
MAT 1:2__Judah_1_1,MAT 1:2,Judah_1_1,Judah_1,Judah,1,34524,
MAT 1:3__Judah_1_1,MAT 1:3,Judah_1_1,Judah_1,Judah,1,34525,
MAT 1:3__Perez_1_1,MAT 1:3,Perez_1_1,Perez_1,Perez,2,34526,
MAT 1:3__Zerah_3_1,MAT 1:3,Zerah_3_1,Zerah_3,Zerah,1,34527,
MAT 1:3__Tamar_1_1,MAT 1:3,Tamar_1_1,Tamar_1,Tamar,1,34528,
MAT 1:3__Hezron_2_1,MAT 1:3,Hezron_2_1,Hezron_2,Hezron,2,34529,
MAT 1:3__Ram_1_1,MAT 1:3,Ram_1_1,Ram_1,Ram,1,34530,
MAT 1:4__Ram_1_1,MAT 1:4,Ram_1_1,Ram_1,Ram,1,34531,
MAT 1:4__Amminadab_1_1,MAT 1:4,Amminadab_1_1,Amminadab_1,Amminadab,2,34532,
MAT 1:4__Nahshon_1_1,MAT 1:4,Nahshon_1_1,Nahshon_1,Nahshon,2,34533,
MAT 1:4__Salmon_1_1,MAT 1:4,Salmon_1_1,Salmon_1,Salmon,1,34534,
MAT 1:5__Salmon_1_1,MAT 1:5,Salmon_1_1,Salmon_1,Salmon,1,34535,
MAT 1:5__Boaz_1_1,MAT 1:5,Boaz_1_1,Boaz_1,Boaz,2,34536,
MAT 1:5__Rahab_1_1,MAT 1:5,Rahab_1_1,Rahab_1,Rahab,1,34537,
MAT 1:5__Obed_1_1,MAT 1:5,Obed_1_1,Obed_1,Obed,2,34538,
MAT 1:5__Ruth_1_1,MAT 1:5,Ruth_1_1,Ruth_1,Ruth,1,34539,
MAT 1:5__Jesse_1_1,MAT 1:5,Jesse_1_1,Jesse_1,Jesse,1,34540,
MAT 1:6__Jesse_1_1,MAT 1:6,Jesse_1_1,Jesse_1,Jesse,1,34541,
MAT 1:6__David_1_1,MAT 1:6,David_1_1,David_1,David,2,34542,
MAT 1:6__Solomon_1_1,MAT 1:6,Solomon_1_1,Solomon_1,Solomon,1,34543,
MAT 1:6__Bathsheba_1_1,MAT 1:6,Bathsheba_1_1,Bathsheba_1,Bathsheba,1,34544,
MAT 1:6__Uriah_1_1,MAT 1:6,Uriah_1_1,Uriah_1,Uriah,1,34545,the Hittite
MAT 1:7__Solomon_1_1,MAT 1:7,Solomon_1_1,Solomon_1,Solomon,1,34546,
MAT 1:7__Rehoboam_1_1,MAT 1:7,Rehoboam_1_1,Rehoboam_1,Rehoboam,2,34547,
MAT 1:7__Abijam_1_2,MAT 1:7,Abijam_1_2,Abijam_1,Abijah,2,34548,
MAT 1:7__Asa_1_1,MAT 1:7,Asa_1_1,Asa_1,Asa,1,34549,
MAT 1:8__Asa_1_1,MAT 1:8,Asa_1_1,Asa_1,Asa,1,34550,
MAT 1:8__Jehoshaphat_3_1,MAT 1:8,Jehoshaphat_3_1,Jehoshaphat_3,Jehoshaphat,2,34551,
MAT 1:8__Jehoram_1_3,MAT 1:8,Jehoram_1_3,Jehoram_1,Joram,2,34552,"technically, the great-great grandfather of Uzziah"
MAT 1:8__Azariah_3_3,MAT 1:8,Azariah_3_3,Azariah_3,Uzziah,1,34553,
MAT 1:9__Azariah_3_3,MAT 1:9,Azariah_3_3,Azariah_3,Uzziah,1,34554,
MAT 1:9__Jotham_2_1,MAT 1:9,Jotham_2_1,Jotham_2,Jotham,2,34555,
MAT 1:9__Ahaz_1_1,MAT 1:9,Ahaz_1_1,Ahaz_1,Ahaz,2,34556,
MAT 1:9__Hezekiah_1_1,MAT 1:9,Hezekiah_1_1,Hezekiah_1,Hezekiah,1,34557,
MAT 1:10__Hezekiah_1_1,MAT 1:10,Hezekiah_1_1,Hezekiah_1,Hezekiah,1,34558,
MAT 1:10__Manasseh_3_1,MAT 1:10,Manasseh_3_1,Manasseh_3,Manasseh,2,34559,
MAT 1:10__Amon_2_1,MAT 1:10,Amon_2_1,Amon_2,Amon,2,34560,
MAT 1:10__Josiah_1_1,MAT 1:10,Josiah_1_1,Josiah_1,Josiah,1,34561,technically the grandfather
MAT 1:11__Josiah_1_1,MAT 1:11,Josiah_1_1,Josiah_1,Josiah,1,34562,
MAT 1:11__Jehoiachin_1_3,MAT 1:11,Jehoiachin_1_3,Jehoiachin_1,Jeconiah,1,34563,
MAT 1:12__Jehoiachin_1_3,MAT 1:12,Jehoiachin_1_3,Jehoiachin_1,Jeconiah,1,34564,
MAT 1:12__Shealtiel_1_1,MAT 1:12,Shealtiel_1_1,Shealtiel_1,Shealtiel,1,34565,
