place_id,place_name,place_type,modern_equivalent,place_notes,openbible_id,openbible_url,name_instance,place_sequence
heaven_1,heaven,astronomical,the universe,"the abode of stars (GEN 15:5, DEU 4:19, PSA 8:3, etc.)",none,,1,1
Earth_1,Earth,planetary,Earth,the entire planet (GEN 1:1),none,,1,2
waters_1,waters,geographic component,the oceans and the atmosphere,the waters below and the waters above (GEN 1:7),none,,1,3
heaven_2,heaven,geographic component,the troposphere?,"the abode of birds (GEN 1:20, JOB 12:7, PSA 8:8, etc.)",none,,2,4
earth_2,earth,geographic component,continents: land above water,"earth (GEN 1:10), dry land (GEN 1:9)",none,,2,5
seas_1,seas,geographic component,"oceas, seas (lakes?)","seas (GEN 1:10), waters below the heavens (GEN 1:9)",none,,1,6
The Garden_1,The Garden,geographic region,uncertain,some location in Eden,none,,1,7
Eden_1,Eden,geographic region,uncertain,"various theories exist including locations in the Seychelles, Armenia, and others",af3daeb,https://www.openbible.info/geo/ancient/af3daeb/eden-1,1,8
Pishon_1,Pishon,river,uncertain,"various theories exist including Wadi Baysh, Persian Gulf, and others",a19b076,https://www.openbible.info/geo/ancient/a19b076/pishon,1,9
Havilah_1,Havilah,geographic region,uncertain,"The gold of that land is good; the bdellium and the onyx stone are there (GEN 2:12).  Various theories exist regarding modern equivalents including locations in Babylonia, Arabia, and others.",ad7e819,https://www.openbible.info/geo/ancient/ad7e819/havilah-1,1,10
Gihon_1,Gihon,river,uncertain,"It flows around the whole land of Cush (GEN 2:13).  Various theories exist about modern equivalents including the Nile River, Gihon Spring, and others.",a71d79b,https://www.openbible.info/geo/ancient/a71d79b/gihon-1,1,11
Cush_1,Cush,geographic region,uncertain,First mention: GEN 2:13.  Various theories exist regarding modern equivalents including Ethiopia or locations in Babylonia.,a74ee0d,https://www.openbible.info/geo/ancient/a74ee0d/cush-2,1,12
Tigris_1,Tigris,river,Tigris River,It flows east of Assyria (GEN 2:14),a38ebfd,https://www.openbible.info/geo/ancient/a38ebfd/tigris,1,13
Assyria_1,Assyria,geographic region,partly Turkey and partly Iraq,First mention: GEN 2:14,a3d1321,https://www.openbible.info/geo/ancient/a3d1321/assyria,1,14
Euphrates_1,Euphrates,river,Euphrates River,First mention: GEN 2:14,a62dec4,https://www.openbible.info/geo/ancient/a62dec4/euphrates,1,15
Nod_1,Nod,geographic region,uncertain,Only mentioned in GEN 4:16.  May be a term for wandering rather than a specific place.,a1ad8e1,https://www.openbible.info/geo/ancient/a1ad8e1/nod,1,16
Enoch_1,Enoch,city,uncertain,Only mentioned in GEN 4:17,none,,1,17
Ararat_1,Ararat,geographic region,Mount Ağrı in Turkey,First mention: GEN 8:4,ab89be9,https://www.openbible.info/geo/ancient/ab89be9/ararat,1,18
Babel_1,Babel,settlement,Babylon,First mention: GEN 10:10,ab8fdbc,https://www.openbible.info/geo/ancient/ab8fdbc/babel,1,19
Erech_1,Erech,settlement,Uruk,First mention: GEN 10:10,a5db1a6,https://www.openbible.info/geo/ancient/a5db1a6/erech,1,20
Accad_1,Accad,settlement,"uncertain, Tell Sheshubar?",Only mentioned in GEN 10:10,a8b7a6b,https://www.openbible.info/geo/ancient/a8b7a6b/accad,1,21
Calneh_1,Calneh,settlement,Nippur,First mention: GEN 10:10,aee80af,https://www.openbible.info/geo/ancient/aee80af/calneh-1,1,22
Shinar_1,Shinar,geographic region,Babylonia,First mention: GEN 10:10,af725b1,https://www.openbible.info/geo/ancient/af725b1/shinar,1,23
Nineveh_1,Nineveh,settlement,Nineveh,First mention: GEN 10:11,a70fd5d,https://www.openbible.info/geo/ancient/a70fd5d/nineveh,1,24
Rehoboth-Ir_1,Rehoboth-Ir,settlement,location in Nineveh,First mention: GEN 10:11,a260ff1,https://www.openbible.info/geo/ancient/a260ff1/rehoboth-ir,1,25
Calah_1,Calah,settlement,Nimrud,First mention: GEN 10:11,ae1f807,https://www.openbible.info/geo/ancient/ae1f807/calah,1,26
Resen_1,Resen,settlement,Qaryat as Salamiyah,First mention: GEN 10:11,abd8ada,https://www.openbible.info/geo/ancient/abd8ada/resen,1,27
Sidon_1,Sidon,settlement,Sandikli archaeological site in Sidon,First mention: GEN 10:19,a98e4d7,https://www.openbible.info/geo/ancient/a98e4d7/sidon,1,28
Gerar_1,Gerar,settlement,Tel Haror,First mention: GEN 10:19,a3f5814,https://www.openbible.info/geo/ancient/a3f5814/gerar,1,29
Gaza_1,Gaza,settlement,Tel Harube,First mention: GEN 10:19,aa8edd2,https://www.openbible.info/geo/ancient/aa8edd2/gaza,1,30
Sodom_1,Sodom,settlement,in the valley south of the Lisan peninsula,First mention: GEN 10:19,a0aa664,https://www.openbible.info/geo/ancient/a0aa664/sodom,1,31
Gomorrah_1,Gomorrah,settlement,in the valley south of the Lisan peninsula,First mention: GEN 10:19,aa572e2,https://www.openbible.info/geo/ancient/aa572e2/gomorrah,1,32
Admah_1,Admah,settlement,in the valley south of the Lisan peninsula,First mention: GEN 10:19,a41a054,https://www.openbible.info/geo/ancient/a41a054/admah,1,33
Zeboiim_1,Zeboiim,settlement,region south of the Lisan peninsula,First mention: GEN 10:19,abfbfb9,https://www.openbible.info/geo/ancient/abfbfb9/zeboiim,1,34
Lasha_1,Lasha,settlement,Callirrhoe,First mention: GEN 10:19,adaef13,https://www.openbible.info/geo/ancient/adaef13/lasha,1,35
Mesha_1,Mesha,region or settlement,Massa,First mention: GEN 10:30,a6b4fb2,https://www.openbible.info/geo/ancient/a6b4fb2/mesha,1,36
Sephar_1,Sephar,settlement,Zafar,First mention: GEN 10:30,a3cae2c,https://www.openbible.info/geo/ancient/a3cae2c/sephar,1,37
Ur_1,Ur,settlement,Tell el Muqayyar,First mention: GEN 11:28,a6cf75c,https://www.openbible.info/geo/ancient/a6cf75c/ur-1,1,38
Chaldea_1,Chaldea,geographic region,region of Iraq from Baghdad to Kuwait,First mention: GEN 11:28,a32a4f8,https://www.openbible.info/geo/ancient/a32a4f8/chaldea,1,39
Canaan_1,Canaan,geographic region,coastal region of northern Israel into Lebanon,First mention: GEN 11:31,a581f0c,https://www.openbible.info/geo/ancient/a581f0c/canaan,1,40
Haran_1,Haran,settlement,Harran,First mention: GEN 11:31,a6d9af3,https://www.openbible.info/geo/ancient/a6d9af3/haran,1,41
Shechem_1,Shechem,settlement,Tell Balatah,First mention: GEN 12:6,adf74d4,https://www.openbible.info/geo/ancient/adf74d4/shechem,1,42
Moreh_1,Moreh,tree,within 1km of Tell Balatah,First mention: GEN 12:6,a38ad9f,https://www.openbible.info/geo/ancient/a38ad9f/moreh-1,1,43
Bethel_1,Bethel,settlement,Beitin,First mention: GEN 12:8,a64f355,https://www.openbible.info/geo/ancient/a64f355/bethel-1,1,44
Ai_1,Ai,settlement,Et Tell,First mention: GEN 12:8,a7e13e1,https://www.openbible.info/geo/ancient/a7e13e1/ai-1,1,45
