place_label_id,place_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,open_bible_id,label-given_by_god,label_notes,place_label_count,label_sequence
heaven_1_1,heaven_1,heaven, שָׁמַיִם,shamayim,"place of the stars, sky; heaven",H8064,οὐρανός,ou̓ranós,the visible heavens and all their phenomena,G3772,GEN 1:1,name,none,,,1,1
Earth_1_1,Earth_1,Earth,אֶרֶץ,erets,"world, earth, all inhabited lands; parts of the earth, land (in contrast to water),",H776,γῆ,gē͂,"earth, soil; the ground, surface of the earth; the land, as opposed to the sea or a lake; the earth, world",G1093,GEN 1:1,proper name,none,,"the contrast between heaven and earth suggests this is the planet and not ""the land""",1,2
waters_1_1,waters_1,waters,מַיִם,mayim,"water; in nature: ocean, lake, flood, river;",H4325,ὕδωρ,u̔́dōr,water,G5204,GEN 1:2,name,none,,,1,3
heaven_2_1,heaven_2,heaven, שָׁמַיִם,shamayim,region above the earth: the heavens,H8064,οὐρανός,ou̓ranós,"the air, atmosphere, in which the clouds and tempests gather, the birds fly, etc.",G3772,GEN 1:8,name,none,Y,"G-d called the expanse heaven (GEN 1:8)  This is the second heaven, the abode of clouds and birds.",1,4
heaven_2_2,heaven_2,expanse,רָקִיעַ,raqiya,expanse of the sky; the space above the earth that holds visible objects like clouds,H7549,στερέωμα,steréōma,firmament,G4733,GEN 1:7,name,none,,,2,5
earth_2_2,earth_2,dry land,יַבָּשָׁה,yabbashah,"dry ground, dry land (in contrast to bodies of water)",H3004,ξηρός,xērós,dry,G3584,GEN 1:9,name,none,,,2,6
earth_2_2,earth_2,earth,אֶרֶץ,erets,"world, earth, all inhabited lands; parts of the earth, land (in contrast to water),",H776,γῆ,gē͂,"earth, soil; the ground, surface of the earth; the land, as opposed to the sea or a lake; the earth, world",G1093,GEN 1:10,name,none,Y,G-d called the dry land earth (GEN 1:10),2,7
waters_1_2,waters_1,sea,יָם,yam,sea,H3220,θάλασσα,thalassa,"sea, inland sea, lake",G2281,GEN 1:10,name,none,Y,G-d called the gathering of the waters seas (GEN 1:10),2,8
heaven_1_2,heaven_1,expanse of the heavens,רְקִ֣יעַ הַשָּׁמַ֔יִם,raqiya hashamayim,"expanse of the sky; the space above the earth that holds the sun, moon, and stars","H7549, H8064",στερεώματι τοῦ οὐρανοῦ,stereṓmati tou͂ ou̓ranou͂,firmament [of] the heaven,"G5106, G3836, G3772",GEN 1:14,name,none,,,2,9
heaven_2_3,heaven_2,expanse of the heavens,רְקִ֣יעַ הַשָּׁמַ֔יִם,raqiya hashamayim,"expanse of the sky; the space above the earth that holds the sun, moon, and stars","H7549, H8064",στερεώματι τοῦ οὐρανοῦ,stereṓmati tou͂ ou̓ranou͂,firmament [of] the heaven,"G5106, G3836, G3772",GEN 1:20,name,none,,,3,10
heaven_2_4,heaven_2,sky, שָׁמַיִם,shamayim,region above the earth: the heavens,H8064,οὐρανός,ou̓ranós,"the air, atmosphere, in which the clouds and tempests gather, the birds fly, etc.",G3772,GEN 1:26,name,none,,,4,11
The Garden_1_1,The Garden_1,garden,גַּן,gan,garden,H1588,παράδεισος,parádeisos,"a park, a forest where wild beasts were kept for hunting; a pleasure-park, a garden of trees of various kinds; used in the LXX for the Garden of Eden",G3857,GEN 2:8,proper name,none,,,1,12
Eden_1_1,Eden_1,Eden,עֵדֶן,eden,"Eden, ""paradise, delight, [poss.] flat land""",H5731,Εδεμ,Edem,,none,GEN 2:8,proper name,af3daeb,,Rahlfs Septuaginta has Edem (m rather than n): scribal error?,1,13
Pishon_1_1,Pishon_1,Pishon,פִּישׁ֑וֹן,piyshon,Pishon,H7093,Φισων,Phisōn,,none,GEN 2:11,proper name,a19b076,,,1,14
