strongs_number,word,gloss,language,part_of_speech,gender,occurrences,first_occurrence,root_word,word_root_occurrence,first_root_number,first_root_hebrew,second_root_number,second_root_hebrew,third_root_number,third_root_hebrew
1,אָב,"ab (awb) n-m.
1. father
{in a literal and immediate, or figurative and remote application}
[a primitive word. Compare names beginning with ""Abi-""]
KJV: chief, (fore-)father(-less), X patrimony, principal. ",H,noun,masculine,1210,GEN 2:24,אב,1414,,,,,,
2,אַב,"ab (ab) n-m.
1. father
[(Aramaic) corresponding to H1]
 Root(s): H1 ",A,noun,masculine,9,EZK 4:15,אב,1414,1,אב,,,,
3,אֵב," 'eb (abe) n-m.
1. a green plant
[from the same as H24]
KJV: greenness, fruit. 
Root(s): H24 ",H,noun,masculine,2,JOB 8:12,אבב,13,24,אביב,,,,
4,אֵב,"eb (abe) n-m.
1. fruit
[(Aramaic) corresponding to H3]
 Root(s): H3 ",A,noun,masculine,3,DAN 4:12,אבב,13,3,אב,,,,
5,אֲבַגתָּא,"Abagtha' (ab-ag-thaw') n/p.
1. Abagtha, a eunuch of Xerxes
[of foreign origin]
KJV: Abagtha. ",H,noun proper,masculine,1,EST 1:10,,,,,,,,
6,אָבַד,"abad (aw-bad') v.
1. (properly) to wander away, i.e. lose oneself
2. (by implication) to perish
3. (causative) to destroy
[a primitive root]
KJV: break, destroy(- uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee. ",H,verb,,185,EXO 10:7,אבד,207,,,,,,
7,אֲבַד,"abad (ab-ad') v.
1. destroy, perish
[(Aramaic) corresponding to H6]
 Root(s): H6 ",A,verb,,7,JER 10:11,אבד,207,6,אבד,,,,
8,אוֹבֵד,"obed (o-bade') n-m.
1. (concretely) wretched
2. (abstractly) destruction
[active of participle of H6]
KJV: perish. 
Root(s): H6 ",H,noun,masculine,2,NUM 24:20,אבד,207,6,אבד,,,,
9,אֲבֵדָה,"abedah (ab-ay-daw') n-f.
1. (concretely) something lost
2. (abstractly) destruction, i.e. Hades
[from H6]
KJV: lost. 
Root(s): H6 
Compare: H10 ",H,noun,feminine,4,EXO 22:9,אבד,207,6,אבד,,,,
10,אֲבַדּוֹה,"abaddoh (ab-ad-do') n-f.
1. a perishing
[the same as H9, miswritten for H11]
KJV: destruction. 
Root(s): H9, H11 ",H,noun,feminine,1,PRO 27:20,אבד,207,9,אבדה,11,אבדון,,
11,אֲבַדּוֹן,"abaddown (ab-ad-done') n/l.
1. (abstractly) a perishing
2. (concretely) Hades
[intensive from H6]
KJV: destruction. 
Root(s): H6 ",H,noun location,,6,JOB 26:6,אבד,207,6,אבד,,,,
12,אַבדָּן,"abdan (ab-dawn') n-m.
1. a perishing
[from H6]
KJV: destruction. 
Root(s): H6 ",H,noun,masculine,1,EST 9:5,אבד,207,6,אבד,,,,
13,אָבדָּן,"obdan (ob-dawn') n-m.
1. a perishing
[from H6]
KJV: destruction. 
Root(s): H6 ",H,noun,masculine,1,EST 8:6,אבד,207,6,אבד,,,,
14,אָבָה,"abah (aw-baw') v.
1. to breathe after
2. (figuratively) to be acquiescent
[a primitive root]
KJV: consent, rest content will, be willing. ",H,verb,,54,GEN 24:5,אבה,119,,,,,,
15,אָבֶה,"abeh (aw-beh') n-f.
1. longing
[from H14]
KJV: desire. 
Root(s): H14 ",H,noun,feminine,1,JOB 34:36,אבה,119,14,אבה,,,,
16,אֵבֶה,"ebeh (ay-beh') n-m.
1. the papyrus
[from H14 (in the sense of bending toward)]
KJV: swift. 
Root(s): H14 ",H,noun,masculine,1,JOB 9:26,אבה,119,14,אבה,,,,
17,אֲבוֹי,"abowy (ab-o'ee) inj.
1. want
[from H14 (in the sense of desiring)]
KJV: sorrow. 
Root(s): H14 ",H,injunction,,1,PRO 23:29,אבה,119,14,אבה,,,,
18,אֵבוּס,"ebuwc (ay-booce') n-m.
1. a manger or stall
[from H75]
KJV: crib. 
Root(s): H75 ",H,noun,masculine,3,JOB 39:9,אבס,5,75,אבס,,,,
19,אִבחָה,"ibchah (ib-khaw') n-f.
1. brandishing of a sword
[from an unused root (apparently meaning to turn)]
KJV: point. ",H,noun,feminine,1,EZK 21:15,,,,,,,,
20,אֲבַטִּיַח,"abattiyach (ab-at-tee'-akh) n-m.
1. a melon (only plural)
[of uncertain derivation]
KJV: melon. ",H,noun,masculine,1,NUM 11:5,,,,,,,,
21,אֲבִי,"Abiy (ab-ee') n/p.
1. fatherly
2. Abi, Hezekiah's mother
[from H1]
KJV: Abi. 
Root(s): H1 ",H,noun proper,,1,2KI 18:2,אב,1414,1,אב,,,,
