Name,Meaning
Aaron,a teacher; lofty; mountain of strength
Abaddon,the destroyer
Abagtha,father of the wine-press
Abana,made of stone; a building
Abarim,passages; passengers
Abba,father
Abda,a servant; servitude
Abdeel,a vapor; a cloud of God
Abdi,my servant
Abdiel,servant of God
Abdon,servant; cloud of judgment
Abednego,servant of light; shining
Abel,vanity; breath; vapor
Abel,a city; mourning
Abel-beth-maachah,mourning to the house of Maachah
Abel-maim,mourning of waters
Abel-meholah,mourning of sickness
Abel-mizraim,the mourning of Egyptians
Abel-shittim,mourning of thorns
Abez,an egg; muddy
Abi,my father
Abiah,the Lord is my father
Abi-albon,most intelligent father
Abiasaph,consuming father; gathering
Abiathar,excellent father; father of the remnant
Abib,green fruit; ears of corn
Abidah,father of knowledge
Abidan,father of judgment
Abiel,God my father
Abiezer,father of help
Abigail,the father's joy
Abihail,the father of strength
Abihu,he is my father
Abihud,father of praise; confession
Abijah,the Lord is my father
Abijam,father of the sea
Abilene,the father of mourning
Abimael,a father sent from God
Abimelech,father of the king
Abinadab,"father of a vow, or of willingness"
Abinoam,father of beauty
Abiram,high father; father of deceit
Abishag,ignorance of the father
Abishai,the present of my father
Abishalom,father of peace
Abishua,father of salvation
Abishur,father of the wall; father of uprightness
Abital,the father of the dew; or of the shadow
Abitub,father of goodness
Abiud,father of praise
Abner,father of light
Abram,high father
Abraham,father of a great multitude
Absalom,father of peace
Accad,a vessel; pitcher; spark
Accho,close; pressed together
Aceldama,field of blood
Achab,brother of the father
Achaia,grief; trouble
Achaicus,a native of Achaia; sorrowing; sad
Achan,"or Achar, he that troubleth"
Achaz,"one that takes, or possesses"
Achbor,a rat; bruising
Achim,preparing; revenging; confirming
Achish,thus it is; how is this
Achmetha,brother of death
Achor,trouble
Achsah,adorned; bursting the veil
Achshaph,poison; tricks
Achzib,liar; lying; one that runs
Adadah,testimony of the assembly
Adah,an assembly
Adaiah,the witness of the Lord
Adaliah,one that draws water; poverty; cloud; death
Adam,earthy; red
Adamah,red earth; of blood
Adami,my man; red; earthy; human
Adar,high; eminent
Adbeel,"vapor, or cloud of God"
Addi,my witness; adorned; prey
Addin,adorned; delicious; voluptuous
Addon,basis; foundation; the Lord
Adiel,the witness of the Lord
Adin,"Adina, adorned; voluptuous; dainty"
Adithaim,assemblies; testimonies
Adlai,my witness; my ornament
Admah,earthy; red; bloody
Admatha,a cloud of death; a mortal vapor
Adna,pleasure; delight
Adnah,eternal rest
Adoni-bezek,the lightning of the Lord; the Lord of lightning
Adonijah,the Lord is my master
Adonikam,the Lord is raised
Adoniram,my Lord is most high; Lord of might and elevation
Adoni-zedek,justice of the Lord; lord of justice
Adoraim,strength of the sea
Adoram,their beauty; their power
Adrammelech,"the cloak, glory, grandeur or power of the king"
Adramyttium,the court of death
Adriel,the flock of God
Adullam,their testimony; their prey; their ornament
Adummim,earthy; red; bloody things
Aeneas,praised; praiseworthy
Aenon,a cloud; fountain; his eye
Agabus,a locust; the father's joy or feast
Agag,roof; upper floor
Agar,"or Hagar, a stranger; one that fears"
Agee,a valley; deepness
Agrippa,one who causes great pain at his birth
Agur,stranger; gathered together
Ahab,"uncle, or father's brother"
Aharah,a smiling brother; a meadow of a sweet savor
Aharhel,another host; the last sorrow; a brother's sheep
Ahasbai,trusting in me; a grown-up brother
Ahasuerus,prince; head; chief
Ahava,essence; being; generation
Ahaz,one that takes or possesses
Ahaziah,seizure; vision of the Lord
Ahi,my brother; my brethren
Ahiah,brother of the Lord
