section,subject,entry
A,AARON,"-Lineage of EXO 6:16-20; JOS 21:4,10; 1CH 6:2,3; 23:13
-Marriage of EXO 6:23
-Children of EXO 6:23,25; 1CH 6:3; 24:1,2
-Descendants of EXO 6:23,25; 1CH 6:3-15,50-53; 24
-Meets, Moses in the wilderness and is made spokesman for Moses EXO 4:14-16,27-31; 7:1,2
-Inspiration of EXO 12:1; LEV 10:8; 11:1; 13:1; 15:1; NUM 2:1; 4:1,17; 18:1; 19:1; 20:12
-Commissioned as a deliverer of Israel EXO 6:13,26,27; JOS 24:5; 1SA 12:8; PSA 77:20; 105:26; MIC 6:4
-Summoned to Sinai with Nadab, Abihu, and seventy elders EXO 19:24; 24:1,9,10
-Priesthood of EXO 28:1; 29:9; NUM 17; 18:1; PSA 99:6; HEB 5:4
-Consecration of, to the priesthood EXO 28; 29; LEV 8
-Enters upon the priestly office LEV 9
-Descendants of, ordained priests forever EXO 28:40-43; 29:9; NUM 3:3; 18:1; 1CH 23:13; 2CH 26:18
-Judges Israel in the absence of Moses EXO 24:14
-Makes the golden calf EXO 32; ACT 7:40; DEU 9:20,21
-Rod of, buds NUM 17; HEB 9:4
-Preserved NUM 17; HEB 9:4
-Murmured against, by the people EXO 5:20,21; 16:2-10; NUM 14:2-5,10; 16:3-11,41; 20:2; PSA 106:16
-Places pot of manna in the ark EXO 16:34
-With Hur supports the hands of Moses during Battle EXO 17:12
-His benedictions upon the people LEV 9:22; NUM 6:23
-Forbidden to mourn the death of his son, Nadab and Abihu LEV 10:6,19
-Intercedes for Miriam NUM 12:11,12
-Stays the plague by priestly intercession NUM 16:46-48
-Jealous of Moses NUM 12:1
-His presumption, when the rock is smitten NUM 20:10-12
-Not permitted to enter Canaan NUM 20:12,23-29
-Age of, at death EXO 7:7; NUM 33:38,39
-Death and burial of NUM 20:27,28; DEU 10:6; 32:50
-Character of PSA 106:16
-See PRIEST, HIGH"
A,ABADDON,-The angel of the bottomless pit REV 9:11
A,ABAGTHA,-A Persian chamberlain EST 1:10
A,ABANA,-River of Damascus 2KI 5:12
A,ABARIM,-See NEBO
A,ABBA,-Father MRK 14:36; ROM 8:15; GAL 4:6
A,ABDA,-Father of Adoniram 1KI 4:6
A,ABDEEL,-Father of Shelemiah JER 36:26
A,ABDI,-Father of Kish 2CH 29:12
A,ABDIEL,-A Gadite 1CH 5:15
A,ABDON,"-1. A judge of Israel, in the time of the judges JDG 12:13-15
-2. A Levitical city JOS 21:30; 1CH 6:74
-3. A Benjamite chief 1CH 8:23
     -See ACHBOR
-4. Son of Gibeon 1CH 8:30; 9:36
-5. Son of Micah 2CH 34:20
     -Also called ACHBOR 2KI 22:12"
A,ABED-NEGO,"-Also called AZARIAH
     -A Jewish captive in Babylon DAN 1:6-20; 2:17,49; 3:12-30; HEB 11:34"
A,ABEL,"-1. Son of Adam. History of GEN 4:1-15,25
     -References to the death of MAT 23:35; LUK 11:51; HEB 11:4; 12:24; 1JN 3:12
-2. A stone 1SA 6:18"
A,ABEL-BETH-MAACHAH,"-Also called ABEL-MAIM
-(A city in the north of Palestine)
-Sheba slain in 2SA  20:14-22
-Taken by Benhadad 1KI 15:20; 2CH 16:4
-Taken by Tiglath 2KI 15:29"
A,ABEL-MEHOLAH,"-A city near the Jordan JDG 7:22; 1KI 4:12
-Elisha's birthplace 1KI 19:16"
A,ABEL-MIZRAIM,-Place where the Israelites mourned for Jacob GEN 50:11
A,ABEL-SHITTIM,-See SHITTIM
A,ABETTING,-See COMPLICITY
A,ABEZ,-A city of Issachar JOS 19:20
A,ABI,"-Mother of Hezekiah 2KI 18:2
-Called ABIJAH 2CH 29:1"
A,ABIA,"-1. Also called ABIJAH, chief of the twenty-four courses of priests 1CH 24:10; NEH 12:4; LUK 1:5
-2. Son of Samuel 1SA 8:1-5; 1CH 6:28
-3. King of Judah
     -See ABIJAM"
A,ABIAH,-Wife of Hezron 1CH 2:24
A,ABI-ALBON,"-Also called ABIEL
-One of David's heroes 2SA  23:31; 1CH 11:32"
A,ABIASAPH,-Son of Korah EXO 6:24
A,ABIATHAR,"-1. High priest. Called AHIMELECH in 2SA  8:17; 1CH 24:3,6,31
     -And ABIMELECH 1CH 18:16
     -Son of Ahimelech 1SA 22:20
     -Escapes to David from the vengeance of Saul, who slew the priests in the City of Nob 1SA 22:20-23; with 22:6-19
     -Consults the ephod for David 1SA 22:9-12; 30:9-12
     -Associate high priest with Zadok in the reign of David 2SA  15:35; 20:25; 1KI 4:4; 1CH 15:11
     -But called AHIMELECH and father of Abiathar 2SA 8:17; 1CH 18:16
     -Loyal to David when Absalom rebelled; leaves Jerusalem with the ark of the covenant, but is directed by David to return with the ark 2SA 15:24-29
     -Helps David by sending his son from Jerusalem to David with secret information concerning the counsel of Ahithophel 2SA 15:35,36; 17:15-22; 1KI 2:26
     -Supports Adonijah's pretensions to the throne 1KI 1:7
     -Thrust out of office by Solomon 1KI 2:26,27; with 1SA 2:31-35
-2. ABIATHAR
     -See AHIMELECH"
A,ABIB,"-Also called NISAN
-First month in the Jewish calendar EXO 12:2
-Passover instituted, and Israelites depart from Egypt in EXO 23:15; DEU 16:1
-Tabernacle set up in EXO 40:2,17
-Israelites arrive at the wilderness of Zin in NUM 20:1
-Enter Canaan in JOS 4:19
-Jordan's overflow in 1CH 12:15"
A,ABIDA,-Son of Midian 1CH 1:33
A,ABIDAH,-A descendant of Abraham GEN 25:4
A,ABIEL,"-1. Saul's grandfather 1SA 14:51
-2. A Benjamite 1SA 9:1
     -See ABI-ALBON"
A,ABIEZER,"-1. Also called JEEZER, progenitor of the Abiezrites NUM 26:30; JOS 17:2; JDG 6:34; 8:2
-2. One of David's heroes 2SA 23:27; 1CH 27:12"
